Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
0,1,bus,200.25,2699.64,392.97,620.39
0,2,car,1671.25,2526.79,338.4,228.38
0,3,car,2067.46,2589.38,185.08,205.95
0,4,car,1556.63,2340.18,248.86,149.43
0,5,truck,1276.55,2527.6,271.91,307.15
0,6,motorcycle,1847.73,2822.33,125.51,128.72
0,7,car,254.43,3631.42,503.5,412.75
0,8,person,440.45,2170.15,47.18,107.63
0,9,car,1820.49,2024.4,106.53,65.98
0,10,bus,256.04,3632.24,497.57,412.79
0,11,car,714.46,2012.77,106.17,109.77
0,12,car,978.88,2092.85,124.12,115.27
0,13,car,383.77,1921.06,82.37,81.0
0,14,car,843.78,2000.66,117.69,116.07
0,15,car,1242.14,1942.64,96.83,68.82
0,16,person,879.48,2161.15,76.97,153.51
0,17,motorcycle,1834.98,2780.68,146.83,195.74
0,18,person,356.85,2155.98,60.03,124.29
0,19,truck,1283.63,2271.52,135.81,140.21
0,20,motorcycle,2047.52,3123.53,224.95,258.23
1,1,bus,209.75,2696.1,390.71,616.05
1,2,car,1656.87,2514.73,330.88,223.29
1,3,car,2063.92,2589.44,192.15,219.62
1,4,car,1549.16,2341.47,264.4,159.08
1,5,truck,1271.51,2523.59,271.72,306.98
1,6,motorcycle,1834.74,2814.1,118.51,121.41
1,7,car,253.19,3631.39,503.55,412.79
1,8,person,439.84,2172.07,46.4,105.78
1,9,car,1821.24,2023.91,104.42,64.67
1,10,bus,255.63,3632.2,497.76,412.95
1,11,car,714.77,2019.59,100.52,103.94
1,12,car,971.97,2090.8,122.8,113.93
1,13,car,381.96,1919.96,86.11,84.68
1,14,car,837.08,1998.65,115.26,113.47
1,15,car,1244.06,1943.77,102.19,72.63
1,17,motorcycle,1824.46,2774.14,141.96,189.07
1,18,person,357.32,2154.09,62.15,128.68
1,20,motorcycle,2023.27,3118.1,191.43,219.23
2,1,bus,220.29,2693.28,386.57,607.19
2,2,car,1640.43,2503.88,337.63,228.14
2,3,car,2056.94,2584.54,198.55,220.74
2,4,car,1539.4,2337.55,255.99,154.17
2,5,truck,1260.72,2514.2,269.32,304.22
2,7,car,251.19,3631.27,502.38,412.97
2,8,person,435.87,2165.59,47.28,107.44
2,9,car,1821.28,2022.89,105.57,65.42
2,12,car,971.74,2087.49,130.4,121.17
2,13,car,379.65,1918.32,87.4,85.91
2,15,car,1246.62,1946.66,103.5,73.65
2,20,motorcycle,1998.9,3087.84,205.32,234.63
2,19,car,1271.96,2250.92,136.11,140.8
3,1,bus,229.73,2685.83,398.26,622.17
3,2,car,1632.01,2496.96,335.27,226.64
3,3,car,2044.71,2576.97,202.16,223.29
3,4,car,1529.92,2334.49,252.06,152.23
3,5,truck,1248.35,2504.0,264.71,298.97
3,7,car,250.51,3631.04,501.03,413.49
3,8,person,431.82,2147.1,61.21,139.82
3,9,car,1817.95,2022.02,106.34,65.85
3,12,car,969.78,2085.26,132.78,123.7
3,13,car,374.42,1919.53,82.02,80.35
3,15,car,1245.6,1947.63,104.88,74.72
3,20,motorcycle,1963.4,3067.66,195.8,223.5
3,19,car,1265.67,2246.68,134.8,139.67
3,17,motorcycle,1792.86,2759.3,130.61,173.85
4,1,bus,239.79,2685.58,404.97,627.64
4,2,car,1613.83,2489.79,323.65,218.73
4,3,car,2039.01,2562.04,216.31,237.85
4,4,car,1521.05,2324.49,248.34,150.56
4,5,truck,1239.35,2493.59,256.36,289.27
4,7,car,249.99,3631.19,499.98,413.27
4,8,person,430.58,2147.36,60.04,137.43
4,9,car,1814.31,2022.45,106.44,65.84
4,13,car,372.72,1919.65,78.97,77.12
4,15,car,1248.31,1944.28,99.11,70.27
4,20,motorcycle,1943.02,3056.61,177.42,201.24
4,14,car,827.85,1990.92,113.01,110.24
5,1,bus,248.25,2679.85,412.02,631.51
5,2,car,1601.07,2479.01,316.06,213.47
5,3,car,2030.22,2550.29,213.61,231.59
5,4,car,1512.35,2318.94,241.94,146.82
5,5,truck,1230.37,2482.49,260.2,293.13
5,7,car,249.87,3631.18,499.75,413.26
5,8,person,430.09,2151.97,55.77,126.75
5,9,car,1811.32,2024.47,108.27,66.79
5,13,car,371.48,1919.59,80.69,78.52
5,15,car,1248.08,1940.93,94.48,66.46
5,20,motorcycle,1914.4,3019.2,191.26,217.91
5,38,motorcycle,1719.04,2722.04,234.01,190.2
5,12,car,967.52,2086.14,125.12,116.63
5,19,car,1250.89,2232.44,126.5,131.43
5,17,motorcycle,1760.88,2736.58,118.27,157.46
6,1,bus,257.66,2672.24,419.73,634.53
6,2,car,1587.74,2472.02,311.02,210.31
6,3,car,2022.56,2539.83,210.75,223.7
6,4,car,1500.29,2315.2,248.07,151.55
6,5,truck,1223.48,2474.06,256.9,288.78
6,7,car,249.21,3630.72,498.42,414.2
6,8,person,428.59,2155.84,52.94,119.8
6,9,car,1809.77,2025.35,111.24,68.55
6,13,car,371.75,1919.27,80.13,77.78
6,15,car,1253.79,1944.56,96.13,67.33
6,20,motorcycle,1891.4,3005.58,178.49,202.39
6,43,bus,250.83,3631.8,487.44,413.41
6,45,car,1459.37,2034.13,119.49,71.93
6,12,car,964.34,2085.11,122.37,114.38
6,19,car,1241.25,2225.56,119.05,123.36
6,17,motorcycle,1730.75,2730.53,122.26,159.77
7,1,bus,266.48,2667.57,431.62,642.64
7,2,car,1572.87,2464.46,317.51,215.09
7,3,car,2016.28,2532.26,209.53,216.42
7,4,car,1493.0,2311.29,248.12,152.45
7,5,truck,1210.39,2467.64,252.62,282.73
7,8,person,425.38,2155.24,54.2,121.67
7,9,car,1808.51,2023.51,111.44,68.48
7,13,car,371.89,1918.52,80.73,78.54
7,15,car,1251.48,1943.76,95.78,66.47
7,20,motorcycle,1867.06,2978.3,182.62,207.75
7,45,car,1464.95,2036.69,116.52,70.09
7,19,car,1232.68,2221.96,123.04,128.31
7,14,car,825.1,1997.29,99.82,95.31
8,1,bus,273.7,2663.97,443.79,650.24
8,2,car,1560.77,2458.69,316.54,215.5
8,3,car,2006.97,2525.57,210.48,209.56
8,4,car,1483.61,2305.67,239.81,147.63
8,5,truck,1196.88,2457.36,248.09,275.99
8,8,person,423.38,2152.82,55.14,123.02
8,9,car,1806.4,2022.0,113.4,69.52
8,13,car,371.02,1917.17,80.91,79.12
8,20,motorcycle,1847.99,2956.97,188.38,215.02
8,45,car,1468.05,2037.58,120.6,72.51
8,19,car,1223.43,2218.0,121.75,127.11
8,56,car,2064.26,2904.22,186.62,243.32
8,61,car,1199.52,2459.17,255.15,272.25
8,7,car,249.06,3629.88,498.13,415.87
8,17,motorcycle,1691.82,2720.95,100.91,125.27
9,1,bus,281.73,2660.01,455.55,655.43
9,2,car,1549.14,2448.69,305.98,208.26
9,3,car,2002.75,2515.14,217.64,209.34
9,4,car,1473.29,2299.28,230.82,142.16
9,5,truck,1188.46,2451.08,245.37,271.67
9,8,person,420.62,2134.96,69.6,157.94
9,9,car,1805.92,2022.04,114.9,70.3
9,13,car,371.02,1917.99,80.16,78.65
9,20,motorcycle,1823.98,2926.63,201.82,234.26
9,45,car,1476.21,2037.14,121.12,73.03
9,19,car,1216.97,2215.1,119.02,124.31
9,56,car,2056.23,2895.62,193.92,252.41
9,7,car,249.52,3629.9,499.04,416.75
9,17,motorcycle,1684.31,2711.44,102.21,123.15
9,12,car,952.74,2077.77,116.39,109.15
10,1,bus,291.9,2651.99,466.7,657.82
10,2,car,1537.78,2435.65,294.07,200.01
10,3,car,1994.38,2505.21,228.08,211.17
10,4,car,1461.83,2293.84,226.21,139.52
10,5,truck,1179.68,2446.49,246.07,270.7
10,8,person,418.39,2123.85,80.59,186.78
10,9,car,1806.28,2021.85,115.02,70.19
10,13,car,370.99,1919.71,82.24,80.78
10,20,motorcycle,1799.07,2916.04,183.86,214.41
10,45,car,1485.78,2042.22,124.35,75.03
10,19,car,1212.52,2211.89,116.59,121.81
10,56,car,2042.25,2901.34,227.27,295.63
10,7,truck,250.65,3629.89,501.3,417.29
10,12,car,948.33,2078.84,113.65,106.49
11,1,bus,298.62,2648.17,474.11,653.73
11,2,car,1525.44,2432.56,295.62,201.46
11,3,car,1989.69,2499.59,235.59,209.82
11,4,car,1454.46,2287.92,216.48,132.83
11,5,truck,1171.82,2441.66,242.82,264.53
11,9,car,1804.68,2021.25,111.78,67.86
11,13,car,370.81,1915.17,81.06,79.93
