Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
8,1706,traffic light,843.52,251.53,29.08,97.23
8,1707,person,396.39,531.85,63.9,166.85
8,1708,person,282.78,547.77,50.96,133.34
8,1709,traffic light,113.36,160.54,36.46,79.8
8,1710,person,869.05,542.99,34.29,92.23
8,1711,person,1123.49,521.44,40.1,110.18
8,1713,person,1169.14,536.51,37.46,110.18
8,1714,person,714.57,508.68,27.84,86.53
8,1715,person,1052.1,529.23,40.3,93.06
8,1716,traffic light,203.37,330.81,25.78,102.97
8,1717,person,818.51,528.07,40.13,115.33
8,1718,motorcycle,467.48,576.77,62.44,96.95
8,1719,traffic light,1004.72,368.22,26.61,74.86
8,1720,traffic light,1003.46,348.5,22.58,35.63
8,1721,person,672.9,491.83,19.18,57.88
8,1722,person,1253.23,517.98,27.83,81.19
8,1724,person,477.02,538.94,60.3,157.36
9,1706,traffic light,843.52,251.49,29.08,97.16
9,1707,person,396.67,532.14,64.2,167.46
9,1708,person,283.15,547.58,51.5,134.05
9,1709,traffic light,113.23,160.54,36.57,80.03
9,1710,person,869.37,542.88,35.16,94.58
9,1711,person,1123.11,521.33,40.37,110.53
9,1713,person,1168.52,536.38,37.63,110.47
9,1714,person,714.74,508.72,27.95,87.1
9,1715,person,1052.06,529.61,39.8,92.01
9,1716,traffic light,203.38,330.98,25.84,103.2
9,1717,person,818.49,529.12,40.51,116.33
9,1718,motorcycle,465.61,576.84,61.97,96.95
9,1719,traffic light,1004.64,368.3,26.61,74.89
9,1720,traffic light,1003.23,349.97,24.68,39.09
9,1721,person,673.06,491.68,19.13,57.65
9,1724,person,475.76,539.18,59.72,156.95
10,1706,traffic light,843.52,251.45,29.06,97.04
10,1707,person,396.59,533.03,64.82,169.33
10,1708,person,283.58,547.54,51.94,134.4
10,1709,traffic light,113.15,160.52,36.58,80.04
10,1710,person,869.99,543.36,35.29,94.84
10,1711,person,1122.34,521.35,40.83,111.51
10,1713,person,1168.19,536.37,37.8,110.66
10,1714,person,715.12,508.52,28.17,87.99
10,1715,person,1051.33,528.96,40.52,93.98
10,1716,traffic light,203.45,330.68,25.68,102.24
10,1717,person,818.6,529.53,40.65,116.54
10,1718,motorcycle,465.47,576.81,61.46,96.6
10,1719,traffic light,1004.76,368.33,26.57,74.85
10,1720,traffic light,1003.14,350.92,25.75,41.03
10,1721,person,673.14,491.73,19.09,57.51
10,1724,person,474.6,539.68,59.8,157.85
10,1723,person,1154.52,535.97,26.93,104.29
11,1706,traffic light,843.48,251.47,29.08,97.01
11,1707,person,396.47,533.82,65.18,170.65
11,1708,person,283.95,547.43,52.4,134.89
11,1709,traffic light,113.18,160.72,36.42,79.61
11,1710,person,870.48,543.32,35.3,95.02
11,1711,person,1121.83,521.45,41.11,112.03
11,1713,person,1167.97,536.27,38.04,110.95
11,1714,person,715.46,508.08,28.33,88.85
11,1715,person,1050.76,528.39,40.77,95.05
11,1716,traffic light,203.34,331.17,25.82,102.87
11,1717,person,819.38,529.76,40.75,116.52
11,1718,motorcycle,465.73,576.96,61.64,97.27
11,1719,traffic light,1004.79,368.44,26.49,74.86
11,1720,traffic light,1003.06,350.56,25.24,40.29
11,1721,person,673.2,491.64,19.02,57.16
12,1706,traffic light,843.46,251.47,29.1,96.97
12,1707,person,396.19,534.17,65.05,170.95
12,1708,person,284.4,547.37,52.88,135.51
12,1709,traffic light,113.2,160.6,36.29,79.21
12,1710,person,870.58,542.67,35.77,96.33
12,1711,person,1121.51,521.21,41.3,112.3
12,1713,person,1167.87,536.37,38.2,110.95
12,1714,person,715.7,507.55,28.43,89.68
12,1715,person,1050.03,527.52,41.27,96.57
12,1716,traffic light,203.43,331.04,25.68,102.0
12,1717,person,819.76,529.84,40.73,116.4
12,1718,motorcycle,465.08,576.61,62.5,99.36
12,1719,traffic light,1004.74,368.24,26.22,74.3
12,1720,traffic light,1003.04,350.92,25.56,41.0
12,1721,person,673.25,491.49,19.0,56.98
12,1763,bicycle,827.49,560.76,42.11,59.68
12,1724,person,478.19,535.77,58.33,155.38
13,1706,traffic light,843.45,251.48,29.16,97.01
13,1707,person,396.29,534.03,64.64,170.36
13,1708,person,284.79,547.23,53.35,136.18
13,1709,traffic light,113.23,160.58,36.24,78.95
13,1710,person,870.95,542.6,36.04,97.09
13,1711,person,1121.31,520.89,41.37,112.44
13,1713,person,1167.75,536.25,38.37,110.9
13,1714,person,715.48,507.38,28.31,89.6
13,1715,person,1049.34,526.51,41.92,98.35
13,1716,traffic light,203.32,331.31,25.77,102.39
13,1717,person,819.59,529.71,40.68,116.44
13,1718,motorcycle,465.62,576.27,63.89,101.95
13,1719,traffic light,1004.74,368.21,26.15,74.26
13,1720,traffic light,1003.01,350.94,25.57,41.19
13,1721,person,673.45,491.23,19.0,56.73
13,1763,bicycle,827.99,560.78,42.28,59.91
13,1768,bicycle,727.7,520.6,38.83,65.67
13,1724,person,478.67,533.84,57.02,153.05
13,1723,person,1153.76,531.26,24.7,94.0
14,1706,traffic light,843.45,251.47,29.21,97.08
14,1707,person,396.2,532.23,62.97,166.43
14,1708,person,284.91,547.05,53.73,136.72
14,1709,traffic light,113.25,160.45,36.2,78.68
14,1710,person,871.56,542.63,36.1,97.23
14,1711,person,1121.02,520.66,41.52,113.0
14,1713,person,1167.74,536.01,38.75,111.49
14,1714,person,715.1,507.49,28.25,89.57
