frame_number,timestamp_sec,object_id,team,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
64,2.21,12,Team B,0.893,336,249,416,446
64,2.21,20,Team A,0.8148,112,217,189,399
64,2.21,14,Team B,0.8445,567,216,653,402
64,2.21,18,Team A,0.8224,678,223,761,402
65,2.24,12,Team B,0.7888,344,246,421,444
65,2.24,20,Team A,0.8297,125,221,199,401
65,2.24,14,Team B,0.8333,580,213,668,398
65,2.24,18,Team A,0.6957,688,223,783,400
66,2.28,12,Team B,0.5763,352,244,430,442
66,2.28,20,Team A,0.6711,140,216,209,398
66,2.28,14,Team B,0.2542,593,213,686,396
67,2.31,20,Team A,0.6838,149,211,224,395
67,2.31,14,Team B,0.4228,601,207,704,395
68,2.34,20,Team A,0.7914,168,205,240,395
68,2.34,14,Team B,0.6524,617,201,710,394
68,2.34,12,Team B,0.6884,377,265,455,442
69,2.38,20,Team A,0.7062,182,204,248,394
69,2.38,14,Team B,0.7813,637,201,719,399
69,2.38,12,Team B,0.8598,391,239,468,441
69,2.38,18,Team A,0.6818,762,198,855,401
70,2.41,20,Team A,0.8516,199,202,258,386
70,2.41,14,Team B,0.7301,644,201,735,402
70,2.41,12,Team B,0.8138,406,238,481,443
70,2.41,18,Team A,0.7058,780,215,870,400
71,2.45,20,Team A,0.8595,212,201,289,389
71,2.45,14,Team B,0.6218,643,202,751,401
71,2.45,12,Team B,0.6277,415,238,492,444
71,2.45,18,Team A,0.6147,798,199,889,400
72,2.48,20,Team A,0.8718,222,199,310,398
72,2.48,14,Team B,0.8193,665,206,764,402
72,2.48,12,Team B,0.6829,419,239,514,444
72,2.48,18,Team A,0.5517,811,195,902,401
72,2.48,27,Team A,0.8418,497,237,561,431
72,2.48,28,Team A,0.8027,609,216,687,406
73,2.52,20,Team A,0.8596,229,201,318,397
73,2.52,14,Team B,0.6834,684,209,767,405
73,2.52,12,Team B,0.8657,421,242,517,444
73,2.52,18,Team A,0.8539,818,194,906,401
73,2.52,27,Team A,0.8384,503,236,562,432
73,2.52,28,Team A,0.6665,621,211,687,405
74,2.55,20,Team A,0.8821,231,202,321,398
74,2.55,14,Team B,0.8133,678,210,769,406
74,2.55,12,Team B,0.8768,427,244,508,443
74,2.55,18,Team A,0.8311,826,192,908,401
74,2.55,27,Team A,0.8848,504,235,563,435
74,2.55,28,Team A,0.8561,625,210,685,406
75,2.59,20,Team A,0.8948,228,204,321,397
75,2.59,14,Team B,0.847,678,213,770,407
75,2.59,12,Team B,0.8702,427,244,503,443
75,2.59,18,Team A,0.8564,835,193,910,400
75,2.59,27,Team A,0.8778,502,235,563,435
75,2.59,28,Team A,0.8746,629,210,687,407
76,2.62,20,Team A,0.917,222,209,320,396
76,2.62,14,Team B,0.8727,674,215,773,406
76,2.62,12,Team B,0.8562,426,241,518,442
76,2.62,18,Team A,0.869,838,187,909,399
76,2.62,27,Team A,0.8657,500,234,560,434
76,2.62,28,Team A,0.8635,629,210,682,407
76,2.62,29,Team A,0.7936,890,189,954,350
77,2.66,20,Team A,0.902,218,212,317,397
77,2.66,14,Team B,0.8939,671,216,780,404
77,2.66,12,Team B,0.8593,418,236,512,441
77,2.66,18,Team A,0.6621,840,189,909,398
77,2.66,27,Team A,0.8819,494,233,555,434
77,2.66,28,Team A,0.8441,627,210,677,407
77,2.66,29,Team A,0.4718,887,197,951,349
78,2.69,20,Team A,0.9059,218,217,312,400
78,2.69,14,Team B,0.8195,669,222,777,403
78,2.69,12,Team B,0.8523,410,237,498,441
78,2.69,18,Team A,0.6487,842,194,908,398
78,2.69,27,Team A,0.8806,488,232,552,434
78,2.69,28,Team A,0.8427,625,211,676,408
79,2.72,20,Team A,0.9088,217,219,305,399
79,2.72,14,Team B,0.8727,667,224,768,404
79,2.72,12,Team B,0.8455,401,233,493,440
79,2.72,18,Team A,0.8534,849,198,907,397
79,2.72,27,Team A,0.8669,481,232,550,433
79,2.72,28,Team A,0.8021,623,211,675,407
79,2.72,29,Team A,0.76,842,183,954,344
80,2.76,20,Team A,0.9141,216,219,300,399
80,2.76,14,Team B,0.8425,666,224,769,403
80,2.76,12,Team B,0.8547,393,229,486,440
80,2.76,18,Team A,0.871,849,198,906,397
80,2.76,27,Team A,0.7992,475,233,548,433
80,2.76,28,Team A,0.816,619,211,671,407
80,2.76,29,Team A,0.4783,830,178,957,344
81,2.79,20,Team A,0.9188,215,219,293,398
81,2.79,14,Team B,0.8798,667,224,794,402
81,2.79,12,Team B,0.8579,388,227,482,439
81,2.79,18,Team A,0.8561,851,199,905,397
81,2.79,27,Team A,0.7853,465,232,544,433
81,2.79,28,Team A,0.8275,616,210,666,407
81,2.79,29,Team A,0.4061,838,177,957,346
82,2.83,20,Team A,0.9102,214,219,288,398
82,2.83,14,Team B,0.9188,666,223,801,402
82,2.83,12,Team B,0.8949,383,229,481,439
82,2.83,18,Team A,0.8652,850,199,904,397
82,2.83,27,Team B,0.8697,456,230,540,433
82,2.83,28,Team A,0.8525,613,210,663,407
83,2.86,20,Team A,0.915,213,218,284,398
83,2.86,14,Team B,0.8236,668,220,807,400
83,2.86,12,Team B,0.9057,380,228,479,439
83,2.86,18,Team A,0.865,848,197,903,397
83,2.86,27,Team B,0.8224,452,230,541,432
83,2.86,28,Team A,0.8496,609,208,659,406
84,2.9,20,Team A,0.9135,212,216,283,398
84,2.9,14,Team B,0.8469,669,217,805,401
84,2.9,12,Team B,0.9013,379,229,477,439
84,2.9,18,Team A,0.8603,847,198,902,397
84,2.9,27,Team A,0.7783,454,230,540,433
84,2.9,28,Team A,0.8727,607,208,657,407
85,2.93,20,Team A,0.9029,211,214,281,398
85,2.93,14,Team B,0.8464,677,220,804,394
85,2.93,12,Team B,0.9003,379,229,473,439
85,2.93,18,Team A,0.8794,846,199,902,398
85,2.93,27,Team A,0.766,447,231,539,433
85,2.93,28,Team A,0.8896,603,207,656,407
86,2.97,20,Team A,0.9019,210,213,280,398
86,2.97,14,Team B,0.5305,701,217,806,396
86,2.97,12,Team B,0.9076,379,229,469,438
86,2.97,18,Team A,0.8658,846,200,902,398
86,2.97,27,Team A,0.8172,446,230,538,433
86,2.97,28,Team A,0.8742,598,207,655,407
86,2.97,30,Team B,0.827,796,177,852,337
86,2.97,31,Ball,0.7107,337,295,357,314
86,2.97,32,Team A,0.6857,646,172,694,347
86,2.97,33,Team A,0.74,710,167,759,242
87,3.0,20,Team A,0.9044,208,212,279,399
87,3.0,14,Team B,0.6416,704,217,820,399
87,3.0,12,Team B,0.9035,379,230,469,438
87,3.0,18,Team A,0.8438,847,199,901,398
87,3.0,27,Team A,0.8779,443,231,537,434
87,3.0,28,Team A,0.8831,596,207,654,408
87,3.0,30,Team B,0.7358,789,175,850,338
87,3.0,31,Ball,0.7329,337,295,357,315
87,3.0,32,Team A,0.7665,641,174,699,350
87,3.0,33,Team A,0.79,703,166,760,243
88,3.03,20,Team A,0.9039,203,211,277,399
88,3.03,14,Team B,0.7879,709,216,828,399
88,3.03,12,Team B,0.9087,377,232,465,439
88,3.03,18,Team A,0.8408,844,199,899,398
88,3.03,27,Team A,0.8674,440,231,535,434
88,3.03,28,Team A,0.8913,592,207,653,409
88,3.03,30,Team B,0.5803,774,173,854,337
88,3.03,31,Ball,0.7172,335,295,355,315
88,3.03,32,Team A,0.7683,636,172,682,349
88,3.03,33,Team A,0.7569,700,166,758,242
89,3.07,20,Team A,0.9025,198,210,274,399
89,3.07,14,Team B,0.8047,712,213,818,399
89,3.07,12,Team B,0.8728,367,234,461,439
89,3.07,18,Team A,0.8275,844,199,897,398
89,3.07,27,Team A,0.8465,437,233,531,435
89,3.07,28,Team A,0.8952,590,210,652,412
89,3.07,30,Team B,0.5937,777,169,842,336
89,3.07,31,Ball,0.6693,332,295,352,315
89,3.07,32,Team A,0.8218,629,172,677,351
89,3.07,33,Team A,0.7107,698,165,755,237
90,3.1,20,Team A,0.8945,190,210,271,399
90,3.1,14,Team B,0.7504,710,210,807,398
90,3.1,12,Team B,0.8725,361,236,459,441
90,3.1,18,Team A,0.819,836,199,896,399
90,3.1,27,Team A,0.8721,431,194,527,436
90,3.1,28,Team A,0.8755,585,212,652,413
90,3.1,30,Team B,0.8069,773,164,832,337
90,3.1,31,Ball,0.4712,326,295,348,315
90,3.1,32,Team A,0.552,623,171,668,346
90,3.1,33,Team A,0.625,695,165,752,235
90,3.1,35,Team B,0.8983,673,203,751,362
91,3.14,20,Team A,0.8927,178,209,268,399
91,3.14,14,Team B,0.5944,711,206,822,399
91,3.14,12,Team B,0.8765,355,241,452,443
91,3.14,18,Team A,0.8129,830,200,896,400
91,3.14,27,Team A,0.8859,424,190,520,436
91,3.14,28,Team A,0.8422,580,214,650,414
91,3.14,30,Team B,0.3472,762,160,829,339
91,3.14,33,Team A,0.699,689,163,748,235
91,3.14,35,Team B,0.8947,674,202,752,369
92,3.17,20,Team A,0.8942,171,209,261,400
92,3.17,14,Team B,0.8452,706,206,831,398
92,3.17,12,Team B,0.8644,350,246,448,444
92,3.17,18,Team A,0.8273,826,200,888,400
92,3.17,27,Team A,0.8906,420,188,514,435
92,3.17,28,Team A,0.8444,575,214,648,414
92,3.17,33,Team A,0.7407,684,162,744,234
92,3.17,35,Team B,0.8903,673,202,753,376
92,3.17,32,Team A,0.3886,605,170,656,346
93,3.21,20,Team A,0.894,166,209,255,401
93,3.21,14,Team B,0.8737,706,203,841,395
93,3.21,12,Team B,0.8382,345,248,440,445
93,3.21,18,Team A,0.8172,829,199,883,402
93,3.21,27,Team A,0.7961,414,187,508,436
93,3.21,28,Team A,0.8718,571,216,637,415
93,3.21,33,Team A,0.7179,679,161,739,235
93,3.21,35,Team B,0.8804,670,201,749,380
93,3.21,32,Team A,0.3836,599,167,649,348
94,3.24,20,Team A,0.8926,157,208,248,402
94,3.24,14,Team B,0.8553,710,201,843,394
94,3.24,12,Team B,0.8891,339,249,431,446
94,3.24,18,Team A,0.8494,823,199,880,402
94,3.24,27,Team A,0.8331,410,225,498,438
94,3.24,28,Team A,0.8913,565,215,633,416
94,3.24,33,Team A,0.7507,675,160,735,234
94,3.24,35,Team B,0.8844,668,201,750,384
95,3.28,20,Team A,0.8857,144,208,237,402
95,3.28,14,Team B,0.8333,709,200,835,396
95,3.28,12,Team B,0.8732,329,249,421,447
95,3.28,18,Team A,0.8404,817,199,876,403
95,3.28,27,Team A,0.8036,398,191,486,439
95,3.28,28,Team A,0.8768,556,214,629,417
95,3.28,33,Team A,0.8027,666,160,729,235
95,3.28,35,Team B,0.8605,661,203,747,386
96,3.31,20,Team A,0.874,133,207,226,403
96,3.31,14,Team B,0.857,710,201,831,395
96,3.31,12,Team B,0.864,320,247,406,447
96,3.31,18,Team A,0.8243,813,199,871,402
96,3.31,27,Team A,0.8551,389,185,475,439
96,3.31,28,Team A,0.8692,549,213,623,418
96,3.31,33,Team A,0.7519,661,159,722,234
96,3.31,35,Team B,0.7678,656,202,746,387
97,3.34,20,Team A,0.856,123,206,222,403
97,3.34,14,Team B,0.8945,710,200,829,395
97,3.34,12,Team B,0.8465,310,243,396,448
97,3.34,18,Team A,0.8088,811,198,866,403
97,3.34,27,Team A,0.8331,381,183,468,439
97,3.34,28,Team A,0.8737,541,212,620,419
97,3.34,33,Team A,0.7121,655,158,719,233
97,3.34,35,Team B,0.8021,655,203,737,387
98,3.38,20,Team A,0.8096,114,208,206,404
98,3.38,14,Team B,0.8885,708,200,824,395
98,3.38,12,Team B,0.7851,301,241,385,447
98,3.38,18,Team A,0.7933,804,200,861,403
98,3.38,27,Team A,0.8573,371,180,459,442
98,3.38,28,Team A,0.8717,533,211,615,419
98,3.38,33,Team A,0.626,650,160,715,234
98,3.38,35,Team B,0.8363,649,203,734,390
99,3.41,20,Team A,0.8747,110,207,192,405
99,3.41,14,Team B,0.8852,704,200,817,396
99,3.41,12,Team B,0.7857,297,240,377,447
99,3.41,18,Team A,0.7561,797,201,856,402
99,3.41,27,Team B,0.8758,365,180,447,443
99,3.41,28,Team A,0.9048,526,212,608,420
99,3.41,33,Team A,0.3105,643,159,707,239
99,3.41,35,Team B,0.8379,651,204,733,392
100,3.45,20,Team A,0.8861,96,206,179,407
100,3.45,14,Team B,0.8322,705,201,807,395
100,3.45,12,Team B,0.8886,287,241,370,443
100,3.45,18,Team A,0.7753,778,199,857,404
100,3.45,27,Team A,0.7959,357,220,436,443
100,3.45,28,Team A,0.8991,518,212,606,421
100,3.45,35,Team B,0.8561,641,205,726,392
100,3.45,32,Team A,0.4162,527,167,576,348
101,3.48,20,Team A,0.8732,85,207,171,408
101,3.48,14,Team A,0.702,699,202,801,393
101,3.48,12,Team B,0.8495,278,243,364,441
101,3.48,18,Team B,0.8402,773,200,843,406
101,3.48,27,Team A,0.7562,349,228,426,444
101,3.48,28,Team A,0.8886,511,213,605,423
101,3.48,35,Team B,0.8858,637,208,720,387
101,3.48,32,Team A,0.8194,501,166,564,351
101,3.48,33,Team A,0.3515,624,157,718,240
102,3.52,20,Team A,0.8448,71,206,160,408
102,3.52,14,Team A,0.7371,683,202,833,403
102,3.52,12,Team B,0.843,270,246,358,442
102,3.52,27,Team A,0.7712,338,188,428,446
102,3.52,28,Team A,0.8687,498,217,606,426
102,3.52,35,Team B,0.8288,637,209,713,386
102,3.52,32,Team A,0.7941,487,164,559,353
103,3.55,20,Team A,0.8408,57,206,155,407
103,3.55,14,Team A,0.8169,686,204,833,407
103,3.55,12,Team B,0.7596,262,243,353,442
103,3.55,27,Team B,0.847,327,181,414,447
103,3.55,28,Team A,0.8819,488,220,601,426
103,3.55,35,Team B,0.8047,632,208,708,389
103,3.55,32,Team A,0.8382,479,163,550,353
104,3.59,20,Team A,0.8412,51,206,142,409
104,3.59,14,Team A,0.3438,684,202,832,408
104,3.59,12,Team B,0.8489,254,241,349,445
104,3.59,27,Team B,0.805,318,179,402,447
104,3.59,28,Team A,0.8771,480,219,589,428
104,3.59,35,Team B,0.3738,623,209,703,394
104,3.59,32,Team A,0.7889,473,163,538,353
104,3.59,18,Team A,0.5464,744,202,825,405
105,3.62,20,Team A,0.8702,43,206,130,410
105,3.62,14,Team A,0.8661,698,202,820,411
105,3.62,12,Team B,0.844,248,242,343,446
105,3.62,27,Team B,0.8717,309,180,393,448
105,3.62,28,Team A,0.9097,475,220,584,429
105,3.62,35,Team B,0.6975,610,210,720,398
105,3.62,32,Team A,0.8099,464,163,524,353
105,3.62,33,Team A,0.2987,584,154,704,252
106,3.66,20,Team A,0.9089,28,206,115,412
106,3.66,14,Team A,0.8602,684,202,815,410
106,3.66,12,Team B,0.844,240,236,337,446
106,3.66,27,Team B,0.8435,299,181,380,449
106,3.66,28,Team A,0.9181,471,216,575,430
106,3.66,35,Team B,0.7166,608,211,718,400
106,3.66,32,Team A,0.8207,449,161,511,353
107,3.69,20,Team A,0.8893,12,205,101,414
107,3.69,14,Team A,0.5761,679,197,811,411
107,3.69,12,Team B,0.7466,230,256,326,447
107,3.69,27,Team B,0.8247,285,178,370,450
107,3.69,28,Team A,0.9141,472,214,568,432
107,3.69,35,Team B,0.8362,603,211,715,402
107,3.69,32,Team A,0.8541,432,159,496,355
107,3.69,18,Team A,0.4765,729,202,808,407
108,3.72,20,Team A,0.8869,0,206,88,414
108,3.72,14,Team A,0.792,682,202,808,417
108,3.72,12,Team B,0.8667,224,233,316,445
108,3.72,27,Team B,0.7214,276,221,362,452
108,3.72,28,Team A,0.9006,472,213,564,432
108,3.72,35,Team B,0.7912,600,211,709,404
108,3.72,32,Team A,0.8704,416,158,487,358
109,3.76,27,Team A,0.921,259,157,392,536
110,3.79,27,Team A,0.9258,259,151,393,536
111,3.83,27,Team A,0.9287,258,150,394,535
112,3.86,27,Team A,0.9289,258,148,395,535
112,3.86,40,Team A,0.9279,0,136,70,540
112,3.86,41,Team A,0.8839,697,99,896,498
112,3.86,42,Team A,0.8827,609,259,802,540
112,3.86,43,Team B,0.8719,385,98,723,540
113,3.9,27,Team A,0.9297,255,149,395,535
113,3.9,40,Team A,0.9286,0,141,70,534
113,3.9,41,Team A,0.8964,681,92,888,499
113,3.9,42,Team A,0.8846,625,270,848,536
113,3.9,43,Team B,0.8667,396,102,719,536
114,3.93,27,Team A,0.9324,246,154,396,535
114,3.93,40,Team A,0.9123,0,142,67,534
114,3.93,41,Team A,0.9083,685,89,888,517
114,3.93,42,Team A,0.8629,629,274,843,534
114,3.93,43,Team A,0.8747,406,50,756,533
115,3.97,27,Team A,0.9337,240,152,396,535
115,3.97,40,Team A,0.9038,0,145,64,533
115,3.97,41,Team A,0.7929,690,88,890,530
115,3.97,42,Team A,0.8964,634,275,846,535
115,3.97,43,Team A,0.8084,409,46,769,530
116,4.0,27,Team A,0.9296,234,145,396,535
116,4.0,40,Team A,0.8424,0,153,60,523
116,4.0,41,Team A,0.8498,723,87,894,534
116,4.0,42,Team A,0.8756,641,275,847,535
116,4.0,43,Team B,0.7249,411,86,772,530
117,4.03,27,Team A,0.928,225,154,396,535
117,4.03,40,Team A,0.8064,0,163,53,494
117,4.03,41,Team B,0.9049,706,88,898,535
117,4.03,42,Team A,0.8769,650,278,855,536
117,4.03,43,Team B,0.7859,412,107,787,533
118,4.07,27,Team A,0.938,217,155,396,535
118,4.07,40,Team A,0.8129,0,226,48,488
118,4.07,41,Team A,0.5473,721,88,905,537
118,4.07,42,Team A,0.9114,664,278,862,535
118,4.07,43,Team B,0.7689,413,111,763,535
119,4.1,27,Team A,0.9452,207,156,393,534
119,4.1,40,Team A,0.7585,0,246,41,492
119,4.1,41,Team A,0.8283,778,87,914,537
119,4.1,42,Team A,0.8951,673,280,865,535
119,4.1,43,Team B,0.7644,417,108,739,535
120,4.14,27,Team A,0.9434,193,154,391,534
120,4.14,41,Team A,0.8619,804,85,923,535
120,4.14,42,Team B,0.8902,680,283,871,535
120,4.14,43,Team A,0.5819,418,108,649,535
121,4.17,27,Team A,0.9323,180,160,389,534
121,4.17,41,Team A,0.8963,792,83,932,535
121,4.17,42,Team B,0.8687,686,285,877,535
121,4.17,43,Team A,0.5834,442,104,669,533
122,4.21,27,Team A,0.9248,166,160,388,534
122,4.21,41,Team A,0.9066,792,82,939,535
122,4.21,42,Team B,0.9025,691,287,884,536
122,4.21,43,Team A,0.8416,458,101,673,534
123,4.24,27,Team A,0.9297,157,161,383,533
123,4.24,41,Team A,0.8504,814,81,943,536
123,4.24,42,Team B,0.8964,696,291,886,535
123,4.24,43,Team A,0.8534,440,100,671,534
124,4.28,27,Team A,0.9463,146,165,381,534
124,4.28,41,Team A,0.886,815,80,948,536
124,4.28,42,Team B,0.9204,703,297,889,536
124,4.28,43,Team A,0.6689,457,101,717,535
125,4.31,27,Team A,0.9362,128,164,376,533
125,4.31,41,Team B,0.8594,798,83,949,536
125,4.31,42,Team B,0.9259,706,302,889,536
125,4.31,43,Team A,0.8376,467,105,670,534
126,4.34,27,Team A,0.9234,111,161,373,532
126,4.34,41,Team B,0.9165,794,82,946,535
126,4.34,42,Team B,0.9213,706,308,890,536
126,4.34,43,Team A,0.8768,473,107,729,534
126,4.34,48,Team B,0.7823,643,69,852,533
127,4.38,27,Team A,0.9182,94,178,364,531
127,4.38,41,Team B,0.9007,799,82,946,535
127,4.38,42,Team B,0.908,708,313,892,536
127,4.38,43,Team A,0.8547,498,110,692,533
127,4.38,48,Team B,0.6809,633,68,850,532
128,4.41,27,Team A,0.8399,75,174,355,530
128,4.41,41,Team B,0.7569,795,85,946,535
128,4.41,42,Team B,0.9092,707,317,889,536
128,4.41,43,Team A,0.8551,499,110,706,533
128,4.41,48,Team B,0.3041,617,72,786,526
129,4.45,27,Team A,0.8638,58,179,342,531
129,4.45,41,Team B,0.7726,792,91,945,535
129,4.45,42,Team B,0.9135,705,324,888,536
129,4.45,43,Team A,0.8916,499,111,695,533
129,4.45,48,Team B,0.3788,629,91,794,531
130,4.48,27,Team A,0.9268,42,178,325,532
130,4.48,41,Team B,0.7816,792,95,940,535
130,4.48,42,Team B,0.9205,701,332,882,535
130,4.48,43,Team A,0.9196,492,111,720,533
130,4.48,48,Team B,0.4758,645,81,831,532
131,4.52,27,Team A,0.9394,21,183,303,533
131,4.52,41,Team B,0.8899,787,103,936,535
131,4.52,42,Team B,0.9124,698,339,875,536
131,4.52,43,Team A,0.8998,482,116,728,534
131,4.52,48,Team B,0.7364,607,76,838,535
132,4.55,27,Team A,0.9322,0,188,293,533
132,4.55,41,Team B,0.7201,736,101,931,534
132,4.55,42,Team B,0.8855,688,346,865,536
132,4.55,43,Team A,0.8926,467,122,736,534
132,4.55,48,Team B,0.3505,592,77,834,534
133,4.59,27,Team A,0.8569,0,204,266,529
133,4.59,41,Team B,0.8163,770,102,924,534
133,4.59,42,Team B,0.8304,677,350,861,536
133,4.59,43,Team A,0.8947,450,125,762,534
133,4.59,48,Team B,0.4972,634,82,827,533
