Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
2,1248,person,1232.06,1148.28,377.38,952.64
2,1249,person,533.91,1191.86,311.49,900.95
2,1250,person,3491.4,1092.91,350.66,879.3
3,1248,person,1234.34,1148.61,377.2,950.13
3,1249,person,533.59,1195.18,311.89,902.12
3,1250,person,3493.98,1098.2,352.41,884.13
3,1252,person,2389.78,954.36,301.07,472.25
3,1253,person,3214.1,1026.61,228.64,902.79
3,1254,person,1543.32,1003.07,314.51,1003.63
4,1248,person,1237.04,1149.14,378.14,949.21
4,1249,person,533.79,1196.75,313.07,905.64
4,1250,person,3496.05,1104.52,355.34,892.45
4,1252,person,2386.49,957.09,303.82,476.95
4,1253,person,3233.32,1039.26,220.77,866.62
4,1254,person,1535.76,1001.49,314.04,1001.19
4,1257,person,1847.55,1245.54,350.29,648.47
4,1259,person,2805.01,1054.3,394.55,857.92
5,1248,person,1239.57,1148.8,381.4,952.94
5,1249,person,533.95,1197.66,313.59,907.51
5,1250,person,3496.17,1104.1,353.3,888.48
5,1252,person,2386.34,959.74,307.57,483.07
5,1253,person,3229.16,1027.14,222.97,871.44
5,1254,person,1525.8,1006.19,318.86,1015.42
5,1257,person,1844.63,1245.25,351.74,650.65
5,1259,person,2800.95,1068.84,401.48,872.73
6,1248,person,1239.94,1147.77,383.45,953.02
6,1249,person,534.08,1197.34,313.46,907.59
6,1250,person,3494.47,1100.28,352.21,887.59
6,1252,person,2398.62,957.16,306.74,480.45
6,1253,person,3220.09,1030.88,222.34,862.56
6,1254,person,1515.57,1006.25,319.68,1018.47
6,1257,person,1837.88,1244.56,352.84,651.93
6,1261,elephant,2482.42,1365.37,557.99,470.87
7,1248,person,1240.08,1146.79,385.48,952.33
7,1249,person,534.19,1196.68,312.64,905.58
7,1250,person,3494.42,1104.78,351.95,888.96
7,1252,person,2378.41,952.2,299.74,471.56
7,1253,person,3213.71,1029.33,226.6,872.5
7,1254,person,1513.45,1005.97,318.05,1015.01
7,1257,person,1839.75,1245.21,353.23,651.11
7,1261,elephant,2486.21,1417.09,687.17,580.92
7,1259,person,2795.09,1078.79,394.84,856.51
8,1248,person,1240.13,1146.53,387.82,952.39
8,1249,person,533.64,1196.11,312.14,904.22
8,1250,person,3492.68,1103.32,350.64,886.22
8,1252,person,2371.14,949.32,297.53,469.95
8,1253,person,3207.62,1026.67,231.0,883.16
8,1254,person,1510.28,1004.73,317.5,1014.92
